report_month,churn,gain,total,registrations
2020-11-01,600.0,3384.0,3946.0,1255099
2020-12-01,1146.0,5767.0,6730.0,1683859
2021-01-01,2245.0,6494.0,11351.0,1977960
2021-02-01,2941.0,5444.0,15600.0,1525015
2021-03-01,3717.0,4531.0,18103.0,1331970
2021-04-01,3838.0,3609.0,18917.0,1080979
2021-05-01,3565.0,2605.0,18688.0,830663
2021-06-01,3028.0,1893.0,17728.0,615221
2021-07-01,2737.0,1461.0,16593.0,528793
2021-08-01,2037.0,1499.0,15317.0,555215
2021-09-01,1847.0,1241.0,14779.0,548966
2021-10-01,1839.0,1070.0,14173.0,572921
2021-11-01,1646.0,1075.0,13404.0,580509
2021-12-01,1409.0,1704.0,12833.0,768562
