,metric,gain,churn,total,registrations
0,mse,39494690.60552312,2195465.9784620865,51565673.258216515,2638568418338.508
1,bias,32757696.77804018,2124555.862132747,49946258.71970036,2140764836019.2195
2,variance,6736993.827482951,70910.11632933904,1619414.5385161818,497803582319.29
